MSOA21CD,practice_count,DEMENTIA_REGISTER_65_PLUS,DEMENTIA_REGISTER_0_64,total_dementia,total_registered,area_km2,density_65plus,density_0_64,density_total
E02000314,2,66.0,4.0,70.0,28156.0,3.162030894345357,20.872661338643923,1.2650097780996317,22.137671116743554
E02000315,1,25.0,2.0,27.0,7051.0,1.1333431440749884,22.0586325780481,1.764690606243848,23.823323184291947
E02000318,4,121.0,4.0,125.0,34737.0,1.1656427443829402,103.80539027337585,3.431583149533086,107.23697342290893
E02000319,1,12.0,0.0,12.0,4524.0,1.0844426935736657,11.065591636248914,0.0,11.065591636248914
E02000320,1,15.0,2.0,17.0,4897.0,1.5871372095875138,9.450978724075405,1.2601304965433873,10.711109220618793
E02000321,1,18.0,1.0,19.0,7346.0,0.4989721717815466,36.07415607113361,2.004119781729645,38.07827585286325
E02000323,1,46.0,3.0,49.0,10481.0,0.7831576692832158,58.73657604873033,3.8306462640476298,62.56722231277796
E02000324,1,30.0,0.0,30.0,12923.0,1.361744234476191,22.030568766490727,0.0,22.030568766490727
E02000327,1,18.0,1.0,19.0,6594.0,1.6198235171419804,11.112321687833767,0.6173512048796537,11.72967289271342
E02000328,1,32.0,0.0,32.0,8005.0,0.8277199923451373,38.660416923525084,0.0,38.660416923525084
E02000333,1,61.0,1.0,62.0,12157.0,1.3263411298443566,45.99118479207399,0.7539538490503932,46.74513864112438
E02000337,1,66.0,1.0,67.0,20913.0,1.2566798745857732,52.519341906191435,0.7957476046392642,53.3150895108307
E02000340,2,176.0,2.0,178.0,33526.0,3.546955717934591,49.62001614795621,0.5638638198631387,50.183879967819344
E02000344,2,50.0,1.0,51.0,17750.0,1.3118728459234636,38.1134499089381,0.7622689981787619,38.87571890711686
E02000598,1,34.0,0.0,34.0,6470.0,1.4225106559571645,23.90140267675002,0.0,23.90140267675002
E02000600,2,106.0,3.0,109.0,40798.0,1.2695274558705,83.4956341509897,2.363083985405369,85.85871813639507
E02000601,2,79.0,6.0,85.0,38410.0,0.9960101626165907,79.31645977633531,6.024034919721669,85.34049469605696
E02000605,1,240.0,2.0,242.0,16531.0,1.433670768250033,167.4024506288489,1.395020421907074,168.79747105075597
E02000609,2,167.0,6.0,173.0,21067.0,1.4922734150682933,111.90978698253987,4.020710909552331,115.9304978920922
E02000610,5,358.0,5.0,363.0,47707.0,1.027688805552248,348.35448052547576,4.8652860408586,353.21976656633433
E02000611,1,15.0,1.0,16.0,5316.0,1.7505544901786037,8.568713561421099,0.5712475707614066,9.139961132182506
E02000612,1,93.0,2.0,95.0,16469.0,1.7044791963772155,54.56212090922952,1.173378944284506,55.73549985351403
E02000613,1,19.0,1.0,20.0,3550.0,1.3158874289480207,14.438925079776354,0.759943425251387,15.19886850502774
E02000615,1,52.0,2.0,54.0,8515.0,1.634388486056535,31.81618106320976,1.223699271661914,33.039880334871675
E02000617,2,86.0,0.0,86.0,15032.0,7.12380337074172,12.07220294052639,0.0,12.07220294052639
E02000619,1,42.0,1.0,43.0,23133.0,0.5490084219796716,76.50155866198197,1.8214656824281423,78.32302434441011
E02000620,1,15.0,1.0,16.0,9505.0,0.6862500264592334,21.857922654508013,1.4571948436338675,23.31511749814188
E02000622,4,312.0,6.0,318.0,33335.0,0.680765794931444,458.307397820156,8.813603804233768,467.12100162438975
E02000623,3,95.0,4.0,99.0,31205.0,0.47865024152643837,198.47477710873076,8.356832720367612,206.83160982909837
E02000625,1,11.0,1.0,12.0,6948.0,0.6172853241954834,17.81996034708334,1.6199963951893948,19.439956742272738
E02000627,2,51.0,1.0,52.0,17416.0,0.49314949326928237,103.41691656601104,2.0277826777649226,105.44469924377597
E02000628,1,71.0,3.0,74.0,12565.0,0.5888665638917708,120.57060861252984,5.094532758275909,125.66514137080576
E02000629,1,30.0,1.0,31.0,10226.0,0.628381256752595,47.741716796323125,1.5913905598774374,49.333107356200564
E02000630,2,46.0,0.0,46.0,14232.0,0.6685296488100123,68.80771867318127,0.0,68.80771867318127
