practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G85096,G85096,THE VALE SURGERY,SW16 5SE,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.41725,-0.13666
G85100,G85100,BECKETT HOUSE PRACTICE,SW9 9DL,U65434,STOCKWELLBEING PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.46949,-0.12355
G85102,G85102,GRAY'S INN MEDICAL GROUP VAUXHALL,SE11 5NH,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4899143,-0.118945
G85105,G85105,VESTA ROAD SURGERY,SE4 2NH,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4687302,-0.0408849
G85109,G85109,CLAPHAM PARK GROUP PRACTICE,SW4 8JP,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4517618,-0.1352711
G85114,G85114,WELLS PARK PRACTICE,SE26 6JQ,U23546,APLOS HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.43052,-0.06312
G85119,G85119,STERNHALL LANE SURGERY,SE15 4NT,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4667203,-0.0674371
G85120,G85120,TRIANGLE GROUP PRACTICE,SE13 6DQ,U21222,LEWISHAM ALLIANCE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4578484,-0.0106813
G85121,G85121,PARKVIEW SURGERY,SE6 1AT,U58020,SEVENFIELDS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4449141,-0.0072445
G85123,G85123,BINFIELD ROAD SURGERY,SW4 6TB,U65434,STOCKWELLBEING PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.474463,-0.1254355
G85125,G85125,PARK MEDICAL CENTRE,SE16 2PE,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.492017,-0.0495384
G85127,G85127,THE CORNER SURGERY,SE5 9NS,U41041,FIVEWAYS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4697686,-0.0955729
G85129,G85129,THE DEERBROOK SURGERY,SE27 9AW,U41041,FIVEWAYS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4380028,-0.106027
G85130,G85130,MAWBEY GROUP PRACTICE,SW8 2UD,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47928,-0.12523
G85132,G85132,TESSA JOWELL GP SURGERY,SE22 8EY,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4592889,-0.0803605
G85134,G85134,THE LISTER PRIMARY CARE CENTRE,SE15 5LJ,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47444,-0.07525
G85135,G85135,MINET GREEN HEALTH PRACTICE,SW9 6AF,U41041,FIVEWAYS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.475724,-0.1051357
G85136,G85136,WATERLOO HEALTH CENTRE,SE1 7AE,U38045,NORTH LAMBETH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.5004508,-0.1137038
G85137,G85137,BROCKWELL PARK SURGERY,SE24 9AE,U60524,CROXTED PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.44879,-0.10154
G85138,G85138,ALBION STREET GROUP PRACTICE,SE16 7JX,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.500958,-0.0507467
G85623,G85623,BERMONDSEY SPA MEDICAL CENTRE,SE16 4BL,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49695,-0.06949
G85632,G85632,THE VILLA STREET MEDICAL CENTRE,SE17 2EL,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4865724,-0.0882521
G85633,G85633,NOVUM HEALTH PARTNERSHIP,SE6 4JH,U42936,RAVENSBOURNE PCN LTD,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4495853,-0.0181825
G85642,G85642,BLACKFRIARS MEDICAL PRACTICE,SE1 8EE,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.50536,-0.10578
G85644,G85644,THE GARDENS SURGERY,SE22 9QU,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.460648,-0.0668817
G85647,G85647,THE EXCHANGE SURGERY,SW16 2ST,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4325162,-0.1279028
G85651,G85651,THE DULWICH MEDICAL CENTRE,SE22 9EP,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4554182,-0.0715448
G85662,G85662,THE STREATHAM HILL GROUP PRACTICE,SW16 2PG,U99355,STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.43732,-0.1264
G85673,G85673,SPRINGFIELD MEDICAL CENTRE,SW8 2SH,U65434,STOCKWELLBEING PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4707413,-0.1326237
G85674,G85674,GRAFTON SQUARE SURGERY,SW4 0DE,U45098,CLAPHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4642272,-0.1394472
G85681,G85681,THE LORDSHIP LANE SURGERY,SE22 8JN,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4482545,-0.0731461
